1,Pretzel Baconator®,$8.59,1,050 Cal
1,Dave's Single®,$5.49,590 Cal
1,Dave's Double®,$6.49,860 Cal
1,Baconator®,$7.59,960 Cal
1,Big Bacon Classic®,$5.99,650 Cal
1,Son of Baconator®,$5.59,630 Cal
1,Dave's Triple®,$7.49,1,160 Cal
1,Big Bacon Classic® Double,$6.99,920 Cal
1,Big Bacon Classic Triple,$7.99,1,220 Cal
1,Carolina Classic,$5.19,540 Cal
1,Bacon Double Stack,$3.39,440 Cal
1,Jr. Bacon Cheeseburger,$2.89,370 Cal
1,Jr. Cheeseburger,$1.99,290 Cal
1,Jr. Cheeseburger Deluxe,$2.29,350 Cal
1,Jr. Hamburger,$1.69,250 Cal
1,Double Stack™,$2.99,410 Cal
1,Ghost Pepper Ranch Chicken Sandwich,$6.29,690 Cal
1,6 PC. Spicy Chicken Nuggets,$2.59,280 Cal
1,4 PC. Spicy Chicken Nuggets,$1.89,190 Cal
1,10 PC. Spicy Chicken Nuggets,$4.49,470 Cal
1,Nuggs Party Pack,$11.29,2,260/2,340 Cal
1,Grilled Chicken Wrap,$5.59,420 Cal
1,Spicy Chicken Sandwich,$5.49,490 Cal
1,Asiago Ranch Classic Chicken Club,$6.49,620 Cal
1,Classic Chicken Sandwich,$5.49,490 Cal
1,Crispy Chicken BLT,$2.79,420 Cal
1,Spicy Asiago Ranch Club,$6.49,620 Cal
1,10 PC. Crispy Chicken Nuggets,$4.49,450 Cal
1,4 PC. Crispy Chicken Nuggets,$1.89,180 Cal
1,6 PC. Crispy Chicken Nuggets,$2.59,270 Cal
1,Crispy Chicken Sandwich,$1.99,330 Cal
1,6PC. Saucy Nuggs,$3.79,310-510 Cal
1,4PC. Saucy Nuggs,$2.79,220-410 Cal
1,10PC. Saucy Nuggs,$5.69,530-950 Cal
1,20PC. Saucy Nuggs,$10.29,1,050-1,910 Cal
1,Parmesan Caesar Salad,$7.99,530 Cal
1,Cobb Salad,$7.99,670 Cal
1,Apple Pecan Salad,$7.99,540 Cal
1,Taco Salad,$7.99,690 Cal
1,French Fries,$1.79-$3.19,210-470 Cal
1,Baconator Fries,$3.49,460 Cal
1,Cheese Fries,$2.79,470 Cal
1,Chili,$2.79/$3.59,240/340 Cal
1,Sour Cream and Chive Baked Potato,$2.69,310 Cal
1,Plain Baked Potato,$2.49,270 Cal
1,Chili & Cheese Baked Potato,$3.79,500 Cal
1,Chili Cheese Fries,$3.49,520 Cal
1,Bacon Cheese Baked Potato,$3.79,440 Cal
1,Apple Bites,$1.39,35 Cal
1,Cheese Baked Potato,$3.29,450 Cal
1,6 PC. Crispy Chicken Nuggets,$2.59,270 Cal
1,4 PC. Crispy Chicken Nuggets,$1.89,180 Cal
1,6 PC. Spicy Chicken Nuggets,$2.59,280 Cal
1,4 PC. Spicy Chicken Nuggets,$1.89,190 Cal
1,Caramel Frosty® Cream Cold Brew,$1.99-$3.49,160-300 Cal
1,Vanilla Frosty® Cream Cold Brew,$1.99-$3.49,170-300 Cal
1,Chocolate Frosty® Cream Cold Brew,$1.99-$3.49,170-310 Cal
1,Regular Hot Coffee,$1.19-$1.79,0-5 Cal
1,Cold Brew,$1.79-$3.09,15-25 Cal
2,Big Cheez-It® Crunchwrap Supreme®,$5.49,570 Cal
2,Big Cheez-It® Tostada,$3.99,230 Cal
2,Big Cheez-It® Crunchwrap Supreme®,$5.49,570 Cal
2,Big Cheez-It® Box,$8.99,1400-1680 Cal
2,Big Cheez-It® Box,$8.99,1400-1680 Cal
2,Big Cheez-It® Tostada,$3.99,230 Cal
2,Cantina Chicken Crispy Taco Meal,$9.19,890-1170 Cal
2,Cantina Chicken Burrito Meal,$10.49,980-1260 Cal
2,Cantina Chicken Quesadilla Meal,$10.69,1060-1340 Cal
2,Cantina Chicken Crispy Taco,$2.99,340-340 Cal
2,Cantina Chicken Soft Taco,$2.99,260-260 Cal
2,Cantina Chicken Burrito,$5.59,590-590 Cal
2,Cantina Chicken Quesadilla,$6.49,670-670 Cal
2,Cantina Chicken Bowl,$7.89,540-540 Cal
2,Avocado Verde Salsa Sauce Packet,$0.20,50 Cal
2,Veggie Build Your Own Cravings Box,$5.99,750-1670 Cal
2,Build Your Own Cravings Box,$5.99,670-1760 Cal
2,Meal for 2,$12.50,180-540 Cal Per Item
2,Meal for 4,$20.83,180-540 Cal Per Item
2,Veggie Meal for 2,$12.50,220-470 Cal Per Item
2,Drinks Party Pack,$4.00,0-1120 Cal Per Item
2,Cheesy Roll Up,$1.00,180 Cal
2,Spicy Potato Soft Taco,$1.19,240 Cal
2,Cheesy Bean and Rice Burrito,$1.19,420 Cal
2,Stacker,$2.19,400 Cal
2,Double Stacked Taco,$1.99,320 Cal
2,3 Cheese Chicken Flatbread Melt,$2.29,330 Cal
2,Cheesy Double Beef Burrito,$2.79,570 Cal
2,Chicken Enchilada Burrito,$2.49,380 Cal
2,Loaded Beef Nachos,$2.99,450 Cal
2,Veggie Build Your Own Cravings Box,$5.99,750-1670 Cal
2,Cheesy Fiesta Potatoes,$2.59,240 Cal
2,Build Your Own Cravings Box,$5.99,670-1760 Cal
2,Big Cheez-It® Box,$8.99,1400-1680 Cal
2,Cantina Chicken Crispy Taco Meal,$9.19,890-1170 Cal
2,Cantina Chicken Burrito Meal,$10.49,980-1260 Cal
2,Cantina Chicken Quesadilla Meal,$10.69,1060-1340 Cal
2,Grilled Cheese Burrito Deluxe Cravings Box,$9.99,1500-1780 Cal
2,Steak Grilled Cheese Burrito Combo,$9.29,870-1290 Cal
2,Chicken Quesadilla Combo,$8.99,680-1100 Cal
2,Mexican Pizza Combo,$10.49,920-1340 Cal
2,Nachos BellGrande® Combo,$9.59,930-1350 Cal
2,2 Chicken Chalupas Supreme Combo,$11.29,840-1260 Cal
2,Crunchwrap Supreme® Combo,$8.59,710-1130 Cal
2,3 Crunchy Tacos Combo,$7.69,500-920 Cal
2,3 Crunchy Tacos Supreme® Combo,$8.99,570-990 Cal
2,3 Doritos® Locos Tacos Combo,$9.19,510-930 Cal
